rank,traditional,simplified
1,一,一
2,在,在
3,有,有
4,個,个
5,我,我
6,不,不
7,這,这
8,他,他
9,也,也
10,就,就
11,人,人
12,都,都
13,說,说
14,而,而
15,們,们
16,你,你
17,了,了
18,要,要
19,會,会
20,對,对
21,及,及
22,和,和
23,與,与
24,以,以
25,很,很
26,種,种
27,的,的
28,大,大
29,能,能
30,著,着
31,她,她
32,那,那
33,上,上
34,但,但
35,年,年
36,還,还
37,可以,可以
38,最,最
39,自己,自己
40,為,为
41,來,来
42,所,所
43,他們,他们
44,兩,两
45,各,各
46,可,可
47,為,为
48,或,或
49,好,好
50,等,等
51,又,又
52,將,将
53,因為,因为
54,於,于
55,由,由
56,從,从
57,更,更
58,被,被
59,才,才
60,已,已
61,者,者
62,每,每
63,次,次
64,把,把
65,三,三
66,什麼,什么
67,問題,问题
68,其,其
69,讓,让
70,此,此
71,做,做
72,再,再
73,所以,所以
74,只,只
75,則,则
76,台灣,台湾
77,卻,却
78,並,并
79,位,位
80,想,想
81,去,去
82,呢,呢
83,學生,学生
84,表示,表示
85,到,到
86,公司,公司
87,將,将
88,如果,如果
89,社會,社会
90,看,看
91,小,小
92,天,天
93,因此,因此
94,新,新
95,但是,但是
96,它,它
97,中,中
98,使,使
99,工作,工作
100,全,全
101,覺得,觉得
102,使用,使用
103,這些,这些
104,裡,里
105,並,并
106,由於,由于
107,時候,时候
108,知道,知道
109,這樣,这样
110,一,一
111,認為,认为
112,時間,时间
113,事,事
114,過,过
115,向,向
116,可能,可能
117,中國,中国
118,美國,美国
119,到,到
120,和,和
121,幾,几
122,系統,系统
123,政府,政府
124,大家,大家
125,國家,国家
126,許多,许多
127,生活,生活
128,跟,跟
129,已經,已经
130,大學,大学
131,研究,研究
132,因,因
133,本,本
134,二,二
135,活動,活动
136,該,该
137,世界,世界
138,應,应
139,四,四
140,希望,希望
141,方式,方式
142,內,内
143,項,项
144,啊,啊
145,下,下
146,環境,环境
147,一些,一些
148,必須,必须
149,文化,文化
150,高,高
151,孩子,孩子
152,沒有,没有
153,不能,不能
154,如,如
155,開始,开始
156,元,元
157,不同,不同
158,仍,仍
159,網路,网路
160,日本,日本
161,用,用
162,中心,中心
163,來,来
164,對,对
165,雖然,虽然
166,重要,重要
167,地方,地方
168,進行,进行
169,關係,关系
170,市場,市场
171,太,太
172,老師,老师
173,提供,提供
174,學校,学校
175,應該,应该
176,指出,指出
177,經濟,经济
178,其他,其他
179,家,家
180,發展,发展
181,教育,教育
182,成為,成为
183,多,多
184,非常,非常
185,便,便
186,方面,方面
187,很多,很多
188,吃,吃
189,然後,然后
190,未,未
191,發現,发现
192,電腦,电脑
193,一樣,一样
194,而且,而且
195,心,心
196,不過,不过
197,無法,无法
198,企業,企业
199,正,正
200,服務,服务
201,較,较
202,不會,不会
203,臺灣,台湾
204,曾,曾
205,嗎,吗
206,空間,空间
207,看到,看到
208,五,五
209,如何,如何
210,國內,国内
211,們,们
212,無,无
213,對於,对于
214,以及,以及
215,之後,之后
216,可是,可是
217,當,当
218,人員,人员
219,比,比
220,先,先
221,產品,产品
222,資訊,资讯
223,資料,资料
224,比較,比较
225,先生,先生
226,地,地
227,除了,除了
228,大陸,大陆
229,需要,需要
230,像,像
231,在,在
232,給,给
233,歲,岁
234,請,请
235,月,月
236,些,些
237,名,名
238,另,另
239,若,若
240,亦,亦
241,地區,地区
242,技術,技术
243,至,至
244,特別,特别
245,其實,其实
246,國際,国际
247,不要,不要
248,發生,发生
249,參加,参加
250,一定,一定
251,其中,其中
252,問,问
253,台北,台北
254,包括,包括
255,講,讲
256,造成,造成
257,看,看
258,像,像
259,常,常
260,即,即
261,喜歡,喜欢
262,去,去
263,沒,没
264,出現,出现
265,政治,政治
266,話,话
267,走,走
268,單位,单位
269,一直,一直
270,吧,吧
271,是否,是否
272,當然,当然
273,整,整
274,處理,处理
275,歷史,历史
276,了解,了解
277,那,那
278,怎麼,怎么
279,機會,机会
280,家,家
281,聽,听
282,所有,所有
283,只要,只要
284,朋友,朋友
285,令,令
